,Suite,Tempo do Imóvel,academia,area_total,area_util,bairro,banheiros,churrasqueira,condominio,elevador,iptu,piscina,preco,quartos,salao_festa,tipo,vagas,Bairro
166,,,1,68,,Barcelona,4,1,600.0,1,,0,450000,2,1,2,4,
167,,,1,67,,Barcelona,2,1,385.0,1,,0,455000,2,1,2,2,
168,,,0,88,,Barcelona,2,1,561.0,1,,1,450000,3,0,2,2,
169,,,0,62,,Santo Antônio, -- ,1,14.0,1,,1,475000,2,1,2, -- ,
170,,,0,79,,Mauá,1,1,775.0,1,,0,495000,3,1,2,1,
171,,,0,150,,Centro,1,1,450.0,1,,1,630000,4,0,2,1,
172,,,0,61,,Osvaldo Cruz,2,1,738.0,1,,1,510000,2,1,2,2,
173,,,0,76,,Santa Maria,3,1,395.0,1,,1,4199000,2,1,2,3,
174,,,1,79,,Boa Vista,2,0,410.0,1,,0,700000,3,1,2,2,
175,,,0,55,,Olímpico,3,1,447.0,1,,1,2969000,2,1,2,3,
176,,,0,174,,Santa Paula,1,1,482.0,1,,1,990000,3,1,2,1,
177,,,0,65,,Boa Vista,4,0,478.0,1,,0,365000,2,0,2,4,
178,,,0,90,,Olímpico,2,1,351.0,1,,1,850000,2,1,2,2,
179,,,1,90,,Santa Paula,1,1,568.0,1,,0,650000,3,1,2,1,
180,,,0,180,,Santa Paula,2,0,430.0,1,,1,1200000,3,1,2,2,
181,,,0,67,,Santa Maria,2,1,535.0,1,,1,240000,3,1,2,2,
182,,,1,65,,Barcelona,2,1,105.0,0,,0,435000,2,0,2,2,
183,,,0,70,,Olímpico,1,1,500.0,1,,1,395000,2,1,2,1,
184,,,0,75,,Santa Maria,1,1,19.0,1,,1,460000,2,1,2,1,
185,,,1,160,,Santa Maria,2,0,150.0,0,,1,7499000,3,1,2,2,
186,,,0,84,,Santa Paula,1,1,511.0,1,,1,750000,3,1,2,1,
187,,,1,140,,Nova Gerty,2,1,515.0,1,,0,500000,2,1,2,2,
188,,,0,56,,Cerâmica,2,1,508.0,1,,1,459000,2,1,2,2,
189,,,0,68,,Cerâmica,3,0,550.0,0,,0,720000,2,0,2,3,
190,,,1,64,,Santa Maria,1,0,1.0,0,,1,390000,2,1,2,1,
191,,,1,65,,Cerâmica,1,1,450.0,0,,1,430000,2,1,2,1,
192,,,0,80,,Jardim Sao Caetano,1,0,600.0,1,,0,495000,3,1,2,1,
193,,,0,264,,Olímpico,2,1,385.0,1,,1,1980000,3,1,2,2,
194,,,0,113,,Santo Antônio,1,0,561.0,1,,0,1130000,2,1,2,1,
