area_total,quartos,banheiros,vagas,academia,churrasqueira,elevador,salao_festa,piscina,condominio,bairro_Barcelona,bairro_Boa_Vista,bairro_Centro,bairro_Ceramica,bairro_Fundacao,bairro_Jardim_Sao_Caetano,bairro_Maua,bairro_Nova_Gerty,bairro_Olimpico,bairro_Osvaldo_Cruz,bairro_Santa_Maria,bairro_Santa_Paula,bairro_Santo_Antonio,preco
-1.3995651243594205,0.0,0.2,0.2,1,1,0,1,1,-1.9139933284070088,0,0,0,0,0,0,0,1,0,0,0,0,0,319000
-1.3995651243594205,0.0,0.4000000000000001,0.4000000000000001,0,1,1,1,1,0.08240418379783465,0,0,0,0,0,0,0,1,0,0,0,0,0,319000
-1.3995651243594205,0.0,0.2,0.2,0,1,1,1,1,0.22116723957888884,0,0,0,0,0,0,0,1,0,0,0,0,0,319000
-1.3995651243594205,0.0,0.2,0.2,0,1,1,1,1,0.09583286661535603,0,0,0,0,0,0,0,1,0,0,0,0,0,319000
-1.3995651243594205,0.0,0.0,0.0,0,0,1,0,0,0.5926941308636469,0,0,0,0,0,0,0,1,0,0,0,0,0,319000
-1.3995651243594205,0.0,0.0,0.0,0,1,1,1,1,-1.448465657399602,0,0,0,0,0,0,0,1,0,0,0,0,0,319000
-1.3995651243594205,0.0,0.6000000000000001,0.6000000000000001,0,1,1,1,1,0.6240277241045301,0,0,0,0,0,0,0,1,0,0,0,0,0,319000
-1.3995651243594205,0.0,0.2,0.2,0,0,0,0,0,-0.5756012742607126,0,0,0,0,0,0,0,1,0,0,0,0,0,319000
-1.3995651243594205,0.0,0.2,0.2,1,1,0,1,1,1.5506068385135048,0,0,0,0,0,0,0,1,0,0,0,0,0,319000
-1.3995651243594205,0.0,0.2,0.2,1,0,0,1,1,-1.448465657399602,0,0,0,0,0,0,0,1,0,0,0,0,0,319000
-1.3995651243594205,0.0,0.2,0.2,0,1,1,1,1,-0.15035965170586915,0,0,0,0,0,0,0,1,0,0,0,0,0,319000
-1.3995651243594205,0.0,0.0,0.0,1,1,0,0,0,-1.855802369531084,0,0,0,0,0,0,0,1,0,0,0,0,0,319000
-1.3995651243594205,0.0,0.2,0.2,1,1,1,1,0,0.4091687990241881,0,0,0,0,0,0,0,1,0,0,0,0,0,319000
-1.3995651243594205,0.0,0.0,0.0,0,0,1,1,0,-1.2470354151367813,0,0,0,0,0,0,0,1,0,0,0,0,0,319000
-1.3995651243594205,0.0,0.2,0.2,0,1,1,1,1,-0.3473136663628493,0,0,0,0,0,0,0,1,0,0,0,0,0,319000
-1.3995651243594205,0.0,0.0,0.0,0,0,1,1,0,0.7672670074914247,0,0,0,0,0,0,0,1,0,0,0,0,0,319000
-1.3995651243594205,0.0,0.4000000000000001,0.4000000000000001,0,1,1,1,0,-1.855802369531084,0,0,0,0,0,0,0,1,0,0,0,0,0,319000
-1.3995651243594205,0.0,0.8,0.8,0,1,1,1,1,0.36888275057162395,0,0,0,0,0,0,0,1,0,0,0,0,0,319000
-1.3995651243594205,0.0,0.0,0.0,1,1,1,1,0,0.7672670074914247,0,0,0,0,0,0,0,1,0,0,0,0,0,319000
