bairro,area_total,quartos,banheiros,vagas,academia,churrasqueira,elevador,salao_festa,piscina,condominio,preco
Fundacao,61,0.3333333333333333,0.2,0.2,1,0,1,1,0,1.0,331000
Fundacao,61,0.3333333333333333,0.6000000000000001,0.6000000000000001,0,1,1,1,1,478.0,331000
Fundacao,61,0.3333333333333333,0.0,0.0,0,1,1,1,1,515.0,331000
Fundacao,61,0.3333333333333333,0.0,0.0,0,1,1,1,1,520.0,331000
Fundacao,61,0.3333333333333333,0.2,0.2,0,0,1,1,1,511.0,331000
Fundacao,61,0.3333333333333333,0.2,0.2,0,0,1,0,0,450.0,331000
Fundacao,61,0.3333333333333333,0.2,0.2,0,0,0,0,0,14.0,331000
Fundacao,61,0.3333333333333333,0.4000000000000001,0.4000000000000001,0,1,1,1,1,878.0,331000
Fundacao,61,0.3333333333333333,0.0,0.0,0,1,1,1,1,878.0,331000
Fundacao,61,0.3333333333333333,0.2,0.2,0,1,1,0,1,878.0,331000
Fundacao,61,0.3333333333333333,0.6000000000000001,0.6000000000000001,0,1,1,1,1,775.0,331000
Fundacao,61,0.3333333333333333,0.4000000000000001,0.4000000000000001,0,1,1,0,1,450.0,331000
Fundacao,61,0.3333333333333333,0.0,0.0,0,1,1,1,1,535.0,331000
Fundacao,61,0.3333333333333333,0.4000000000000001,0.4000000000000001,0,0,0,0,0,395.0,331000
Fundacao,61,0.3333333333333333,0.2,0.2,1,1,1,1,0,105.0,331000
Fundacao,61,0.3333333333333333,0.2,0.2,1,0,1,1,0,550.0,331000
Fundacao,61,0.3333333333333333,0.4000000000000001,0.4000000000000001,0,0,1,0,0,482.0,331000
Fundacao,61,0.3333333333333333,0.4000000000000001,0.4000000000000001,0,1,1,1,1,500.0,331000
Fundacao,61,0.3333333333333333,0.4000000000000001,0.4000000000000001,0,1,1,1,1,430.0,331000
Fundacao,61,0.3333333333333333,0.2,0.2,0,0,1,1,0,738.0,331000
Fundacao,61,0.3333333333333333,0.2,0.2,1,1,1,1,0,385.0,331000
Fundacao,61,0.3333333333333333,0.2,0.2,0,1,1,1,1,351.0,331000
Fundacao,61,0.3333333333333333,0.2,0.2,0,1,1,1,1,550.0,331000
Fundacao,61,0.3333333333333333,0.2,0.2,1,1,1,1,0,520.0,331000
Fundacao,61,0.3333333333333333,0.0,0.0,0,1,1,1,1,478.0,331000
Fundacao,61,0.3333333333333333,0.2,0.2,1,1,0,1,1,19.0,331000
Fundacao,61,0.3333333333333333,0.2,0.2,0,1,1,1,0,775.0,331000
