,tipo,bairro,area_total,quartos,banheiros,vagas,academia,churrasqueira,elevador,salao_festa,piscina,condominio,preco
191,2,Cerâmica,65,2,1,1,1,1,0,1,1,450.0,430000
192,2,Jardim Sao Caetano,80,3,1,1,0,0,1,1,0,600.0,495000
193,2,Olímpico,264,3,2,2,0,1,1,1,1,385.0,1980000
194,2,Santo Antônio,113,2,1,1,0,0,1,1,0,561.0,1130000
195,2,Fundação,61,2,2,2,0,1,1,1,1,14.0,331000
196,2,Cerâmica,90,2,2,2,1,1,1,1,0,775.0,990000
197,2,Santa Paula,106,3,3,3,1,1,1,1,0,450.0,550000
198,2,Cerâmica,68,2, -- , -- ,0,1,1,0,1,878.0,6498000
199,2,Barcelona,68,2,2,2,0,1,1,1,1,738.0,450000
200,2,Barcelona,67,2,2,2,0,1,1,1,0,395.0,455000
201,2,Barcelona,88,3,4,4,0,1,1,0,1,410.0,450000
202,2,Santo Antônio,62,2,1,1,0,0,1,0,0,447.0,475000
203,2,Mauá,79,3,4,4,0,1,1,1,1,482.0,495000
204,2,Centro,150,4,3,3,0,1,1,1,1,478.0,630000
205,2,Osvaldo Cruz,61,2, 2-3 , 2-3 ,0,1,1,1,1,351.0,510000
206,2,Santa Maria,76,2,2,2,0,1,1,1,1,568.0,4199000
207,2,Boa Vista,79,3,2,2,0,0,1,0,0,430.0,700000
208,2,Olímpico,55,2,1,1,0,1,1,1,1,535.0,2969000
209,2,Santa Paula,174,3,2,2,0,1,1,1,1,105.0,990000
210,2,Boa Vista,65,2,1,1,1,1,1,1,0,500.0,365000
211,2,Olímpico,90,2,1,1,0,1,1,1,1,19.0,850000
212,2,Santa Paula,90,3,2,2,1,1,0,0,0,150.0,650000
213,2,Santa Paula,180,3,1,1,0,1,1,1,1,511.0,1200000
214,2,Santa Maria,67,3,3,3,1,0,1,1,0,515.0,240000
215,2,Barcelona,65,2,2,2,0,1,1,1,1,508.0,435000
216,2,Olímpico,70,2,1,1,1,0,0,1,1,550.0,395000
217,2,Santa Maria,75,2,2,2,1,1,1,1,0,450.0,460000
218,2,Santa Maria,160,3, -- , -- ,0,1,1,1,1,600.0,7499000
219,2,Santa Paula,84,3,1,1,0,0,0,0,0,385.0,750000
220,2,Nova Gerty,140,2,1,1,1,0,0,1,1,561.0,500000
221,2,Cerâmica,56,2,3,3,1,1,0,1,1,14.0,459000
222,2,Cerâmica,68,2,1,1,0,0,1,1,0,775.0,720000
223,2,Santa Maria,64,2,3,3,0,1,1,1,1,450.0,390000
224,2,Cerâmica,65,2,3,3,0,0,1,1,0,878.0,430000
225,2,Jardim Sao Caetano,80,3,2,2,0,1,1,1,1,738.0,495000
226,2,Olímpico,264,3,1,1,1,1,1,1,0,395.0,1980000
227,2,Santo Antônio,113,2,2,2,1,1,1,1,0,410.0,1130000
228,2,Fundação,61,2,1,1,0,1,1,0,1,447.0,331000
229,2,Cerâmica,90,2,1,1,0,1,1,1,1,482.0,990000
230,2,Santa Paula,106,3,1,1,0,1,1,1,0,478.0,550000
231,2,Cerâmica,68,2,1,1,0,1,1,0,1,105.0,6498000
232,2,Barcelona,68,2,2,2,0,0,1,0,0,351.0,450000
233,2,Barcelona,67,2,2,2,0,1,1,1,1,568.0,455000
234,2,Barcelona,88,3,3,3,0,1,1,1,1,430.0,450000
235,2,Santo Antônio,62,2,2,2,1,0,1,1,0,535.0,475000
236,2,Mauá,79,3,3,3,0,1,1,1,1,105.0,495000
237,2,Centro,150,4,1,1,0,1,1,1,1,500.0,630000
238,2,Osvaldo Cruz,61,2,2,2,0,1,1,1,1,19.0,510000
239,2,Santa Maria,76,2,3,3,0,1,1,1,1,150.0,4199000
240,2,Boa Vista,79,3,3,3,1,1,1,1,0,511.0,700000
241,2,Olímpico,55,2,5,5,0,0,1,1,1,515.0,2969000
242,2,Santa Paula,174,3,3,3,0,1,1,1,1,508.0,990000
243,2,Boa Vista,65,2,3,3,1,1,0,0,0,550.0,365000
244,2,Olímpico,90,2,2,2,1,0,1,1,0,450.0,850000
245,2,Santa Paula,90,3,2,2,0,1,1,1,1,600.0,650000
246,2,Santa Paula,180,3,2,2,1,0,0,1,1,385.0,1200000
247,2,Santa Maria,67,3,1,1,0,1,1,1,1,561.0,240000
